"Filter1","Start1","End1","Filter2","Start2","End2"
"EMMA",2024-02-19 03:00:00,2024-02-19 05:00:00,"SCOM",2024-02-18 20:00:00,2024-02-19 03:00:00
"EMMA",2024-02-19 03:00:00,2024-02-19 05:00:00,"Zabbix",2024-02-18 23:00:00,2024-02-19 03:00:00
"EMMA",2024-02-19 03:00:00,2024-02-19 05:00:00,"C-NMS",2024-02-19 01:00:00,2024-02-19 06:00:00
"EMMA",2024-02-19 03:00:00,2024-02-19 05:00:00,"HA",2024-02-19 05:00:00,2024-02-19 07:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"SCADA",2024-02-12 07:00:00,2024-02-12 09:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"OCC",2024-02-12 08:00:00,2024-02-12 10:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"NFM-P",2024-02-12 08:00:00,2024-02-12 10:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"Zabbix",2024-02-12 08:00:00,2024-02-12 11:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"HA",2024-02-12 08:00:00,2024-02-12 11:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"DICA",2024-02-12 08:00:00,2024-02-12 11:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"SCOM",2024-02-12 08:00:00,2024-02-12 12:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"UNEM",2024-02-12 08:00:00,2024-02-12 14:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"local6",2024-02-12 09:00:00,2024-02-12 11:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"SkyWalker",2024-02-12 09:00:00,2024-02-12 11:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"MileStone",2024-02-12 09:00:00,2024-02-12 11:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"SolMan",2024-02-12 09:00:00,2024-02-12 11:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"LucentOMS",2024-02-12 09:00:00,2024-02-12 13:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"EML",2024-02-12 09:00:00,2024-02-12 13:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"SDH",2024-02-12 09:00:00,2024-02-12 13:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"CA_Spectrum",2024-02-12 09:00:00,2024-02-12 15:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"Impact",2024-02-12 09:00:00,2024-02-12 15:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"NetAct",2024-02-12 10:00:00,2024-02-12 13:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"StruxureWare",2024-02-12 10:00:00,2024-02-12 13:00:00
"EMMA",2024-02-12 09:00:00,2024-02-12 11:00:00,"NFM-P",2024-02-12 11:00:00,2024-02-12 14:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"EML",2024-02-11 17:00:00,2024-02-11 22:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"SCOM",2024-02-11 17:00:00,2024-02-12 02:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"DICA",2024-02-11 19:00:00,2024-02-11 21:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"LucentOMS",2024-02-11 20:00:00,2024-02-11 22:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"Zabbix",2024-02-11 20:00:00,2024-02-11 22:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"SDH",2024-02-11 20:00:00,2024-02-11 22:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"Impact",2024-02-11 20:00:00,2024-02-11 23:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"MileStone",2024-02-11 21:00:00,2024-02-11 23:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"StruxureWare",2024-02-11 21:00:00,2024-02-11 23:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"HA",2024-02-11 22:00:00,2024-02-12 02:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"NetAct",2024-02-11 23:00:00,2024-02-12 01:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"C-NMS",2024-02-11 23:00:00,2024-02-12 03:00:00
"EMMA",2024-02-11 21:00:00,2024-02-11 23:00:00,"Zabbix",2024-02-11 23:00:00,2024-02-12 03:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"SDH",2024-02-10 21:00:00,2024-02-11
"EMMA",2024-02-11,2024-02-11 02:00:00,"SCOM",2024-02-10 21:00:00,2024-02-11 01:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"DICA",2024-02-10 21:00:00,2024-02-11 01:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"EML",2024-02-10 21:00:00,2024-02-11 01:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"LucentOMS",2024-02-10 21:00:00,2024-02-11 02:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"NFM-P",2024-02-10 22:00:00,2024-02-11
"EMMA",2024-02-11,2024-02-11 02:00:00,"MileStone",2024-02-10 22:00:00,2024-02-11 02:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"CA_Spectrum",2024-02-10 22:00:00,2024-02-11 06:00:00
